Date,Management Unit,County,Sex,Age,materialSampleType,Weight,Length
5/19/87,Mt Emily,Umatilla,F,4,A,105,75
8/12/87,Chetco,Curry,F,5,A,64,
9/21/87,Santiam,Clackamas,M,2,A,116,76
9/28/87,Chetco,Curry,F,3,A,74,70
10/4/87,McKenzie,Lane,F,2,A,76,73
11/1/87,Tioga,Coos,M,3,B,80,
11/18/87,Applegate,Josephine,M,2,A,142,84
11/21/87,Indigo,Lane,M,2,A,117,84
11/23/87,Dixon,Jackson,M,10,A,148,81
11/25/87,McKenzie,Lane,M,9,A,126,
11/25/87,Rogue,Jackson,M,6,A,130,
11/27/87,Indigo,Lane,M,2,A,140,81
11/27/87,Dixon,Douglas,M,3,A,142,85
12/1/87,Mt Emily,Union,M,2,A,89,74
12/2/87,Sled Springs,Wallowa,F,3,B,73,72
12/2/87,Sled Springs,Wallowa,F,8,C,,72
12/2/87,Pine Creek,Wallowa,M,2,A,99,73
12/4/87,Snake River,Wallowa,M,1,A,113,78
12/5/87,Imnaha,Wallowa,F,3,B,94,68
12/5/87,Dixon,Douglas,F,2,A,96,77
12/5/87,Indigo,Douglas,F,7,A,95,78
12/8/87,Wenaha,Union,M,2,A,102,69
12/10/87,Snake River,Wallowa,F,3,A,91,
12/10/87,Snake River,Wallowa,M,3,B,112,
12/10/87,Wenaha,Union,F,2,A,84,74
12/11/87,Dixon,Douglas,F,2,A,61,71
12/11/87,Minam,Wallowa,F,6,A,81,71
12/11/87,Indigo,Lane,M,3,A,140,86
12/12/87,Wenaha,Wallowa,F,5,A,84,70
12/12/87,Minam,Wallowa,F,2,A,73,75
12/12/87,Lookout Mtn,Baker,F,3,A,90,78
12/12/87,Indigo,Douglas,M,4,C,,78
12/12/87,Pine Creek,Baker,M,3,A,120,79
12/12/87,Rogue,Jackson,M,2,A,125,84
12/13/87,Minam,Wallowa,M,2,A,118,78
12/13/87,Minam,Wallowa,M,4,A,113,80
12/13/87,Snake River,Wallowa,M,2,A,140,80
12/13/87,Chesnimnus,Wallowa,M,2,A,110,82
12/13/87,Wenaha,Wallowa,M,6,A,175,84
12/13/87,Murderers Creek,Grant,M,3,C,,86
12/14/87,Wenaha,Union,F,4,B,68,74
12/14/87,Imnaha,Wallowa,M,3,B,102,82
12/15/87,Applegate,Josephine,F,1,A,86,71
12/15/87,Sled Springs,Wallowa,M,1,B,69,76
12/15/87,Siuslaw,Douglas,M,2,A,110,83
12/16/87,Wenaha,Union,F,2,B,77,72
12/16/87,Minam,Wallowa,F,2,B,75,73
12/16/87,Catherine Creek,Union,F,4,A,75,76
12/16/87,Sled Springs,Wallowa,M,9,A,129,85
12/17/87,Santiam,Marion,F,4,A,74,70
